,matchId,contestantId,timeMin,timeMinSec,type,scorerId
143,bdzbmw68serf08gtxy2ua68h6,1f72vqlndphmzn45x0nhdqk3e,67,66:48,G,21yxomlpwzh54k7tivw3j457u
144,353ut94dtlsaju9om9mhat65m,hfu6x1260h62zj7xl6cn95hx,46,45:26,PG,9syjo8gdmcsdv5czc1e8w4xxx
145,9nuvceah6ha40t1h0d4hnm2qy,cpqaizhc99tbsqm6h2cgampio,8,7:06,G,6ovbzzxyqz4b17scxmkisnvth
146,35s871z8rhmzupgr40su48u1g,eizgmllil1zrzpk6zbue0hl7m,40,39:06,G,c487t25grh1jsxb0u61581jh1
147,35s871z8rhmzupgr40su48u1g,7gkwmrw0cjz0m168ouw00z4gy,56,55:44,PG,7qinj1hp24xlzrp40lji1r3rp
148,35s871z8rhmzupgr40su48u1g,7gkwmrw0cjz0m168ouw00z4gy,79,78:18,G,7qinj1hp24xlzrp40lji1r3rp
149,9o493mo2l8s2gxuqtkduwpv8q,1iy5a1mzucfenathcnlhmp95a,26,25:24,G,euhin21cqzflsv1vcedt7ew2d
150,9o493mo2l8s2gxuqtkduwpv8q,8rpjhpm2j1q7p40zfmlqpj8am,41,40:25,PG,50pzs8ih772n4u1dvuquf05w5
151,9o493mo2l8s2gxuqtkduwpv8q,1iy5a1mzucfenathcnlhmp95a,45,44:51,G,65udjcug6sgbcb0wtuvbixu51
152,9o493mo2l8s2gxuqtkduwpv8q,8rpjhpm2j1q7p40zfmlqpj8am,79,78:47,OG,27ng8lwfdgoymw9al0pdz70et
153,e3ew48s2n2ww8nudmdml1rwiy,cpqaizhc99tbsqm6h2cgampio,48,47:05,G,6ovbzzxyqz4b17scxmkisnvth
154,e3ew48s2n2ww8nudmdml1rwiy,1zsb1ovzidi8rft1vzw4me71m,51,50:11,PG,bvi7qxhjj54wje1qm709065ed
155,e3ew48s2n2ww8nudmdml1rwiy,1zsb1ovzidi8rft1vzw4me71m,54,53:15,G,bvi7qxhjj54wje1qm709065ed
156,e3ew48s2n2ww8nudmdml1rwiy,1zsb1ovzidi8rft1vzw4me71m,67,66:24,G,1psp77of8z48io79kj56h0ez9
157,e3ew48s2n2ww8nudmdml1rwiy,cpqaizhc99tbsqm6h2cgampio,78,77:33,PG,2mv48xbwjnyqclrsgn2oedtjp
158,24fzxu33rwgqix85uex8t6iy2,hfu6x1260h62zj7xl6cn95hx,62,61:04,G,9syjo8gdmcsdv5czc1e8w4xxx
159,24fzxu33rwgqix85uex8t6iy2,hfu6x1260h62zj7xl6cn95hx,65,64:10,G,2061k6wctcwfxtmj6qcil42xh
160,24fzxu33rwgqix85uex8t6iy2,hfu6x1260h62zj7xl6cn95hx,82,81:35,G,2061k6wctcwfxtmj6qcil42xh
161,357wqv3701a2eyxu8may6xk6i,1zsb1ovzidi8rft1vzw4me71m,24,23:51,G,9ynfb3x8vdydd82128cppk8gl
162,357wqv3701a2eyxu8may6xk6i,1zsb1ovzidi8rft1vzw4me71m,95,94:50,G,2f5shtl4n0z0thj4h1sz13zrp
163,35pyyyy6avswfe0hr2d22584q,ehsvy9m92bp6ktgoy6pwv8rdm,66,65:40,G,abzf358c7vw4vhw5ad819t9zp
164,35pyyyy6avswfe0hr2d22584q,eizgmllil1zrzpk6zbue0hl7m,68,67:26,G,3gl531k6v6qumpxb5tp17nxlh
165,35pyyyy6avswfe0hr2d22584q,eizgmllil1zrzpk6zbue0hl7m,92,91:39,G,3gl531k6v6qumpxb5tp17nxlh
166,e2zam7sz5vcc1i3oj32383uqy,9dqkgu00tn42928lrrxlis95a,7,6:34,G,287fodtg3sbi6enk4lp5gkt79
167,e2zam7sz5vcc1i3oj32383uqy,8rpjhpm2j1q7p40zfmlqpj8am,23,22:36,PG,b9b44wsl4d24yps6luijnhgix
168,e2zam7sz5vcc1i3oj32383uqy,8rpjhpm2j1q7p40zfmlqpj8am,59,58:38,OG,150w18iw8ozp5t8ehyf0zu4et
169,2lod9gseocpm2csgzhjpfrxn8,bw2py3aiws1rq61pokete3kv2,37,36:49,G,b3gzwpdhc43oz9u4ihkqgug2d
170,2lod9gseocpm2csgzhjpfrxn8,bw2py3aiws1rq61pokete3kv2,68,67:02,G,b3gzwpdhc43oz9u4ihkqgug2d
171,2lod9gseocpm2csgzhjpfrxn8,7gkwmrw0cjz0m168ouw00z4gy,90,89:43,G,3k8wr5chjtaakdyyftcqpak0l
172,24691gfjwxnynsdgm0ajk5w8a,1iy5a1mzucfenathcnlhmp95a,81,80:22,G,2ztfs9tfd4ztq5fleycxf11t6
173,24691gfjwxnynsdgm0ajk5w8a,1iy5a1mzucfenathcnlhmp95a,96,95:14,PG,5m7gtqlmb66jcwhqmfebt46vp
174,e8ikyn9qvtwprhmq4w8mcohgq,cpqaizhc99tbsqm6h2cgampio,15,14:10,G,6eqxtayx7vsjujc8viicz987p
175,e8ikyn9qvtwprhmq4w8mcohgq,cpqaizhc99tbsqm6h2cgampio,61,60:04,G,6eqxtayx7vsjujc8viicz987p
176,e8ikyn9qvtwprhmq4w8mcohgq,cpqaizhc99tbsqm6h2cgampio,69,68:58,OG,72s5nyjuxb6ydlq4kdybz3get
177,8gj2g3tf58vnofhpijtdg5d78,1iy5a1mzucfenathcnlhmp95a,51,50:01,G,euhin21cqzflsv1vcedt7ew2d
178,19as5aflla0mxebhrhgwlewru,ehsvy9m92bp6ktgoy6pwv8rdm,8,7:51,G,8tkbjriwyv726522f10tyt1w5
179,19as5aflla0mxebhrhgwlewru,ehsvy9m92bp6ktgoy6pwv8rdm,82,81:57,PG,abzf358c7vw4vhw5ad819t9zp
180,19as5aflla0mxebhrhgwlewru,ehsvy9m92bp6ktgoy6pwv8rdm,89,88:26,G,abzf358c7vw4vhw5ad819t9zp
181,e8u3rr2m5f99yd8ipigwashnu,1iy5a1mzucfenathcnlhmp95a,7,6:55,G,8r4jakwqzzf2cqjd3btsayz8p
182,6193r3nx4zpflk0k493zetnh0,2nxp7ufclxwbtaozvx5zj1zym,81,80:10,G,didi62zdit4vtyfye0qxw7105
183,35dbqror24rncs5jsmsrw19ii,8puc16dm0ut6bvv6u6ivpe2ch,5,4:07,G,em2957qngzi3thmrksunwe9qt
184,9q2kjf87buyy2jcqhpm1e23xm,bd1veyn5g4r8zbaquf8b8pksp,59,58:34,G,5ubpbn6j49ob3rmfq4ac356tx
185,60xsjzadmkabw8h8cn1cd2y38,ehsvy9m92bp6ktgoy6pwv8rdm,2,1:24,G,abzf358c7vw4vhw5ad819t9zp
186,60xsjzadmkabw8h8cn1cd2y38,cpqaizhc99tbsqm6h2cgampio,25,24:24,G,2mv48xbwjnyqclrsgn2oedtjp
187,60xsjzadmkabw8h8cn1cd2y38,ehsvy9m92bp6ktgoy6pwv8rdm,29,28:33,G,9fz4lzq3u50914qgqhkuvydpl
188,60xsjzadmkabw8h8cn1cd2y38,cpqaizhc99tbsqm6h2cgampio,70,69:50,G,72s5nyjuxb6ydlq4kdybz3get
189,24cy4hy04ahy82frkcusfpqp6,2nxp7ufclxwbtaozvx5zj1zym,8,7:32,G,3xz9cyx54low8hq4xm2s04ogl
190,24cy4hy04ahy82frkcusfpqp6,2nxp7ufclxwbtaozvx5zj1zym,46,45:01,G,didi62zdit4vtyfye0qxw7105
191,24cy4hy04ahy82frkcusfpqp6,2nxp7ufclxwbtaozvx5zj1zym,53,52:08,G,9jv9rg9srbovkivx6y440v9m2
192,24cy4hy04ahy82frkcusfpqp6,8puc16dm0ut6bvv6u6ivpe2ch,55,54:24,G,adh3gj9e2avq8j3ib8kbfjw7p
193,24cy4hy04ahy82frkcusfpqp6,2nxp7ufclxwbtaozvx5zj1zym,74,73:17,G,didi62zdit4vtyfye0qxw7105
194,24cy4hy04ahy82frkcusfpqp6,8puc16dm0ut6bvv6u6ivpe2ch,90,89:37,G,drtoqm93lulssafz5z6rpavv9
195,8hr5ok4batskzdvznvm0c8kk4,1iy5a1mzucfenathcnlhmp95a,93,92:36,G,2ztfs9tfd4ztq5fleycxf11t6
196,8hr5ok4batskzdvznvm0c8kk4,bw2py3aiws1rq61pokete3kv2,98,97:15,G,7lqrv433cz9feh1qjo0wp7oix
197,e9kndb1sooxtzw0qm0s2cl27e,1f72vqlndphmzn45x0nhdqk3e,31,30:03,G,2ddf8xxnqz6tehsqw5cg5x0b9
198,9plife5g642pjqc0z00otp84q,8puc16dm0ut6bvv6u6ivpe2ch,3,2:29,OG,65bod4a6kdiry4uygx41nr3dh
199,9plife5g642pjqc0z00otp84q,1f72vqlndphmzn45x0nhdqk3e,22,21:04,G,auoha2xfik4deh4dphlrlvm22
