,matchId,contestantId,playerId,matchName,shirtNumber,position,positionSide,formationPlace
6812,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,4atdou0euxyvhyfr005wadr6d,R. De La Fuente,19,Defender,Left,3
6813,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,7n849c9llm9q8vtnp2hmoqw2d,J. Insaurralde,6,Defender,Left/Centre,6
6814,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,atheibripyjr0rr4zn3klkzbp,J. Barroso,5,Defender,Centre/Right,5
6815,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,1jh74cxv1fis332qfdchysyqd,F. Campos,28,Defender,Right,2
6816,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,8yak0o9o7z5j5ribga3ui2cb9,G. Suazo,17,Defensive Midfielder,Left/Centre,4
6817,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,8fkylkkuvwu64by9rj22e52lm,B. Soto,22,Defensive Midfielder,Centre/Right,8
6818,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,2pvxu1njn98w26idcbacr6j1l,B. Provoste,27,Attacking Midfielder,Left,11
6819,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,abzf358c7vw4vhw5ad819t9zp,L. Valencia,10,Attacking Midfielder,Centre,10
6820,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,3loc50uo96004zxczuihbzrh1,G. Costa,8,Attacking Midfielder,Right,7
6821,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,2v1gnc16lhwfsr26o8b10czfu,L. Arriagada,32,Striker,Centre,9
6822,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,1vnhvlo2z3vzdmy5s5cjl7qvp,C. Fuentes,24,Substitute,,
6823,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,b6l6cav75axv8b7a3j7zcn84p,I. Morales,18,Substitute,,
6824,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,909ydub0s5szvgfyb762kkxxx,P. Mouche,15,Substitute,,
6825,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,1qjttb6sdzmo310b3g8yxqhn9,Ó. Opazo,16,Substitute,,
6826,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,y9v0u6zwopgjkp64nili8rth,E. Paredes,7,Substitute,,
6827,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,drz07oqwrot4amw308ykk3c9h,M. Pinto,12,Substitute,,
6828,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,dxtv4idhrzxkw9dxp3fytfpp1,B. Vejar,23,Substitute,,
6829,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,c3p7hlz4zb6pqm3wgtk5jleqd,S. Perez,25,Goalkeeper,Centre,1
6830,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,gr9yavamkh4wlc9tk0x4355h,H. Salinas,18,Defender,Left,3
6831,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,2vq6zte475lnqe51wu8ub6ok5,M. Zenteno,8,Defender,Left/Centre,6
6832,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,2mg31e4otqxsqhnsmbhphu0ut,L. Aveldaño,2,Defender,Centre/Right,5
6833,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,1q7x49gtgmpqcgweaynab0vyt,F. Schultz,14,Defender,Right,2
6834,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,bofwmh4pccbdtb66ci9nat87p,G. Lorenzetti,9,Midfielder,Left/Centre,8
6835,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,r08krgj1120soe0mectwfd91,R. Caroca,5,Midfielder,Centre,4
6836,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,60a2pk7zaclwwq7n9qchurxlh,D. Orellana,20,Midfielder,Centre/Right,7
6837,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,c1w8b6hy98azzdz48pw8uago9,R. Blanco,19,Striker,Left/Centre,11
6838,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,34x6eabrx5t9one9q6ifwtyp5,C. Huanca,28,Striker,Centre,9
6839,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,18nk3jxjo37tdkbqkk3g6ges5,J. Hernández,23,Striker,Centre/Right,10
6840,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,c3hppkqrb6qixh7jnmzr61lg5,M. Blázquez,3,Substitute,,
6841,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,deif1zcm3cu6fw7yqogo2eevp,M. Donoso,15,Substitute,,
6842,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,82u8tt9aazfveho8oxtqdnvmd,D. Fernández,31,Substitute,,
6843,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,d6z2xzodhjxq7jff3ypstk4tm,M. Fuentes,27,Substitute,,
6844,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,cqueb3a752qflzf7hrs2apzl6,A. Guerrero,6,Substitute,,
6845,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,5cr89nqjzl7mlzv4x4msapixg,F. Levinao,16,Substitute,,
6846,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,c8kksze0li7ndudwsxusykamt,S. Zúñiga,21,Substitute,,
6847,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,9hghlys8dcbpm9ci5s0i3ixg5,G. Reyes,22,Goalkeeper,Centre,1
6848,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,dzvs8zk8j4rgbda6thqtserfu,L. Díaz,13,Defender,Left,3
6849,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,1qg7ahnsy82npoatncqdb5nf9,E. Godoy,4,Defender,Left/Centre,6
6850,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,cp9yrxkhm7fsocyen7d7xwfrp,N. Correa,2,Defender,Centre/Right,5
6851,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,de4yoz1uwu3b99x2af0pw85bd,S. Ramírez,11,Defender,Right,2
6852,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,5io2106rxpshzsc39qigm1nth,B. Carvallo,21,Midfielder,Left,11
6853,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,e0ztmxmalp3ck3tjbwe3wmfo5,L. Povea,5,Midfielder,Left/Centre,8
6854,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,hj91p5o7cbehtivvgeoswct1,A. Camargo,6,Midfielder,Centre/Right,4
6855,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,51mu62nt2yufzzi9qt45e3cnp,C. Waterman,10,Midfielder,Right,7
6856,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,b5wgtt6qzb70f7r2ujf2kzlqt,G. Alles,9,Striker,Left/Centre,9
6857,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,59oi89awh1na996h27otd1905,M. Cabrera,8,Striker,Centre/Right,10
6858,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,1ugulgez2lig6zzhphceounyt,J. Abarca,23,Substitute,,
6859,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,4se88iulp9win99uybducyi8l,J. Carreño,17,Substitute,,
6860,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,15s5544sklhidisn1dfnm77px,R. Leyton,1,Substitute,,
6861,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,b6bn0mgaaa579ix7yr8ilev6y,M. Oporto,27,Substitute,,
6862,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,a7twiics4lxbx3cmji98he2fp,M. Quinteros,16,Substitute,,
