,matchId,contestantId,periodId,timeMin,timeMinSec,timestamp,type,decision,outcome,playerId
73,8hi0aoalf2dotlgz0ir3hfevo,eizgmllil1zrzpk6zbue0hl7m,2,59,58:06,2020-10-29T17:50:15Z,Card upgrade,Cancelled,Card upgraded,3xfqyb7n91x9qpsvjyj1ih785
74,713kacspm6bok296s673dg7e2,8puc16dm0ut6bvv6u6ivpe2ch,1,41,40:13,2020-09-03T18:13:09Z,Penalty awarded,Cancelled,No penalty,em2957qngzi3thmrksunwe9qt
75,713kacspm6bok296s673dg7e2,9dqkgu00tn42928lrrxlis95a,1,41,40:44,2020-09-03T18:13:40Z,Card upgrade,Cancelled,Card upgraded,1g6yxzrygguwxhf7r4d8zor56
76,e80gzl00z62u0g1cxlfftvnmy,bw2py3aiws1rq61pokete3kv2,2,67,66:53,2020-03-09T22:57:53Z,Penalty not awarded,Confirmed,No penalty,c832vblhgabxypcw32zgzgs0l
77,e80gzl00z62u0g1cxlfftvnmy,bw2py3aiws1rq61pokete3kv2,2,85,84:22,2020-03-09T23:15:23Z,Penalty not awarded,Cancelled,Penalty,6aiecfxg2e102e6vg8vfaf8x5
78,24zgio444f28v15f308tgu3qi,ehsvy9m92bp6ktgoy6pwv8rdm,2,50,49:11,2020-10-14T22:40:58Z,Penalty not awarded,Confirmed,No penalty,3loc50uo96004zxczuihbzrh1
79,be7bomktaffjsfnx8wxhaocbu,9dqkgu00tn42928lrrxlis95a,1,7,6:03,2020-10-03T19:07:47Z,Penalty not awarded,Cancelled,Penalty,287fodtg3sbi6enk4lp5gkt79
80,8he9208occ04jkv0mtnu56mtw,8puc16dm0ut6bvv6u6ivpe2ch,1,11,11:00,2020-11-08T19:11:48Z,Penalty not awarded,Cancelled,Penalty,2qul5ulggaduqfdn1facph0b9
81,8he9208occ04jkv0mtnu56mtw,7gkwmrw0cjz0m168ouw00z4gy,1,42,41:01,2020-11-08T19:41:49Z,Penalty not awarded,Cancelled,Penalty,7swl6vdfvr4somv33kiobm51
82,6129l2l3lp5g2ibgvssvmmxp0,hfu6x1260h62zj7xl6cn95hx,1,20,19:13,2020-12-06T22:51:17Z,Penalty awarded,Confirmed,Penalty,bn04vhl78qfknkl5fk84rkuz9
83,6129l2l3lp5g2ibgvssvmmxp0,9dqkgu00tn42928lrrxlis95a,2,50,49:40,2020-12-06T23:43:47Z,Goal not awarded,Cancelled,Goal,3kgj8qv3krm0g4u8eidfdw0r9
84,360n23cxpuafl0830v2vyhs0k,1zsb1ovzidi8rft1vzw4me71m,2,85,84:43,2020-11-15T23:22:14Z,Penalty awarded,Cancelled,No penalty,bvi7qxhjj54wje1qm709065ed
